"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX1748774","SRX1748774","SRX1748774","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748775","SRX1748775","SRX1748775","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748776","SRX1748776","SRX1748776","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748777","SRX1748777","SRX1748777","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748778","SRX1748778","SRX1748778","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748779","SRX1748779","SRX1748779","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748780","SRX1748780","SRX1748780","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748781","SRX1748781","SRX1748781","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748782","SRX1748782","SRX1748782","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748783","SRX1748783","SRX1748783","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748784","SRX1748784","SRX1748784","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748785","SRX1748785","SRX1748785","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748786","SRX1748786","SRX1748786","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748787","SRX1748787","SRX1748787","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748788","SRX1748788","SRX1748788","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748789","SRX1748789","SRX1748789","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748790","SRX1748790","SRX1748790","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748791","SRX1748791","SRX1748791","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748792","SRX1748792","SRX1748792","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748793","SRX1748793","SRX1748793","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748794","SRX1748794","SRX1748794","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748795","SRX1748795","SRX1748795","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748796","SRX1748796","SRX1748796","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748797","SRX1748797","SRX1748797","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748798","SRX1748798","SRX1748798","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748799","SRX1748799","SRX1748799","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748800","SRX1748800","SRX1748800","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748801","SRX1748801","SRX1748801","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748802","SRX1748802","SRX1748802","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748803","SRX1748803","SRX1748803","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748804","SRX1748804","SRX1748804","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748805","SRX1748805","SRX1748805","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748806","SRX1748806","SRX1748806","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748807","SRX1748807","SRX1748807","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748808","SRX1748808","SRX1748808","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748809","SRX1748809","SRX1748809","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748810","SRX1748810","SRX1748810","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748811","SRX1748811","SRX1748811","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748812","SRX1748812","SRX1748812","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748813","SRX1748813","SRX1748813","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748814","SRX1748814","SRX1748814","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748815","SRX1748815","SRX1748815","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748816","SRX1748816","SRX1748816","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748817","SRX1748817","SRX1748817","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748818","SRX1748818","SRX1748818","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748819","SRX1748819","SRX1748819","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748820","SRX1748820","SRX1748820","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748821","SRX1748821","SRX1748821","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748822","SRX1748822","SRX1748822","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748823","SRX1748823","SRX1748823","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748824","SRX1748824","SRX1748824","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748825","SRX1748825","SRX1748825","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748826","SRX1748826","SRX1748826","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748827","SRX1748827","SRX1748827","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748828","SRX1748828","SRX1748828","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748829","SRX1748829","SRX1748829","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748830","SRX1748830","SRX1748830","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748831","SRX1748831","SRX1748831","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748832","SRX1748832","SRX1748832","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748833","SRX1748833","SRX1748833","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748834","SRX1748834","SRX1748834","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748835","SRX1748835","SRX1748835","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748836","SRX1748836","SRX1748836","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748837","SRX1748837","SRX1748837","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748838","SRX1748838","SRX1748838","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748839","SRX1748839","SRX1748839","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748840","SRX1748840","SRX1748840","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748841","SRX1748841","SRX1748841","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748842","SRX1748842","SRX1748842","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748843","SRX1748843","SRX1748843","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748844","SRX1748844","SRX1748844","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748845","SRX1748845","SRX1748845","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748846","SRX1748846","SRX1748846","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748847","SRX1748847","SRX1748847","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748848","SRX1748848","SRX1748848","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748849","SRX1748849","SRX1748849","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748850","SRX1748850","SRX1748850","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748851","SRX1748851","SRX1748851","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748852","SRX1748852","SRX1748852","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748853","SRX1748853","SRX1748853","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748855","SRX1748855","SRX1748855","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748856","SRX1748856","SRX1748856","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748857","SRX1748857","SRX1748857","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748858","SRX1748858","SRX1748858","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748859","SRX1748859","SRX1748859","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748860","SRX1748860","SRX1748860","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748861","SRX1748861","SRX1748861","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748862","SRX1748862","SRX1748862","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748863","SRX1748863","SRX1748863","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748864","SRX1748864","SRX1748864","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748865","SRX1748865","SRX1748865","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748866","SRX1748866","SRX1748866","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748868","SRX1748868","SRX1748868","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748869","SRX1748869","SRX1748869","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748870","SRX1748870","SRX1748870","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748871","SRX1748871","SRX1748871","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748872","SRX1748872","SRX1748872","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748873","SRX1748873","SRX1748873","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748874","SRX1748874","SRX1748874","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748875","SRX1748875","SRX1748875","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748876","SRX1748876","SRX1748876","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748877","SRX1748877","SRX1748877","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748878","SRX1748878","SRX1748878","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748879","SRX1748879","SRX1748879","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748880","SRX1748880","SRX1748880","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748881","SRX1748881","SRX1748881","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748882","SRX1748882","SRX1748882","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748883","SRX1748883","SRX1748883","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748884","SRX1748884","SRX1748884","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748885","SRX1748885","SRX1748885","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748886","SRX1748886","SRX1748886","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748887","SRX1748887","SRX1748887","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748888","SRX1748888","SRX1748888","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748889","SRX1748889","SRX1748889","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748890","SRX1748890","SRX1748890","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748892","SRX1748892","SRX1748892","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748893","SRX1748893","SRX1748893","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748894","SRX1748894","SRX1748894","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748895","SRX1748895","SRX1748895","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748896","SRX1748896","SRX1748896","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748897","SRX1748897","SRX1748897","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748898","SRX1748898","SRX1748898","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748899","SRX1748899","SRX1748899","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748901","SRX1748901","SRX1748901","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748902","SRX1748902","SRX1748902","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748903","SRX1748903","SRX1748903","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748904","SRX1748904","SRX1748904","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748905","SRX1748905","SRX1748905","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748906","SRX1748906","SRX1748906","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748907","SRX1748907","SRX1748907","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748908","SRX1748908","SRX1748908","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748909","SRX1748909","SRX1748909","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748910","SRX1748910","SRX1748910","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748911","SRX1748911","SRX1748911","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748912","SRX1748912","SRX1748912","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748913","SRX1748913","SRX1748913","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748917","SRX1748917","SRX1748917","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748918","SRX1748918","SRX1748918","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748919","SRX1748919","SRX1748919","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748920","SRX1748920","SRX1748920","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748921","SRX1748921","SRX1748921","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748922","SRX1748922","SRX1748922","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748923","SRX1748923","SRX1748923","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748924","SRX1748924","SRX1748924","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748925","SRX1748925","SRX1748925","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748928","SRX1748928","SRX1748928","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748929","SRX1748929","SRX1748929","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748930","SRX1748930","SRX1748930","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748931","SRX1748931","SRX1748931","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748932","SRX1748932","SRX1748932","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748933","SRX1748933","SRX1748933","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748934","SRX1748934","SRX1748934","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748935","SRX1748935","SRX1748935","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748941","SRX1748941","SRX1748941","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748942","SRX1748942","SRX1748942","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748943","SRX1748943","SRX1748943","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748944","SRX1748944","SRX1748944","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748945","SRX1748945","SRX1748945","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748946","SRX1748946","SRX1748946","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748947","SRX1748947","SRX1748947","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748951","SRX1748951","SRX1748951","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748952","SRX1748952","SRX1748952","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748953","SRX1748953","SRX1748953","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748954","SRX1748954","SRX1748954","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748955","SRX1748955","SRX1748955","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748956","SRX1748956","SRX1748956","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748957","SRX1748957","SRX1748957","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748958","SRX1748958","SRX1748958","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748964","SRX1748964","SRX1748964","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748965","SRX1748965","SRX1748965","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748966","SRX1748966","SRX1748966","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748967","SRX1748967","SRX1748967","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748968","SRX1748968","SRX1748968","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748969","SRX1748969","SRX1748969","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748970","SRX1748970","SRX1748970","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748975","SRX1748975","SRX1748975","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748976","SRX1748976","SRX1748976","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748977","SRX1748977","SRX1748977","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748978","SRX1748978","SRX1748978","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748979","SRX1748979","SRX1748979","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748980","SRX1748980","SRX1748980","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748981","SRX1748981","SRX1748981","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748982","SRX1748982","SRX1748982","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748988","SRX1748988","SRX1748988","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748989","SRX1748989","SRX1748989","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748990","SRX1748990","SRX1748990","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748991","SRX1748991","SRX1748991","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748992","SRX1748992","SRX1748992","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748993","SRX1748993","SRX1748993","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748994","SRX1748994","SRX1748994","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748998","SRX1748998","SRX1748998","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1748999","SRX1748999","SRX1748999","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749000","SRX1749000","SRX1749000","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749001","SRX1749001","SRX1749001","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749002","SRX1749002","SRX1749002","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749003","SRX1749003","SRX1749003","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749004","SRX1749004","SRX1749004","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749005","SRX1749005","SRX1749005","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749006","SRX1749006","SRX1749006","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749009","SRX1749009","SRX1749009","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749012","SRX1749012","SRX1749012","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749013","SRX1749013","SRX1749013","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749014","SRX1749014","SRX1749014","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749015","SRX1749015","SRX1749015","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749016","SRX1749016","SRX1749016","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749017","SRX1749017","SRX1749017","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749018","SRX1749018","SRX1749018","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749022","SRX1749022","SRX1749022","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749023","SRX1749023","SRX1749023","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749025","SRX1749025","SRX1749025","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749026","SRX1749026","SRX1749026","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749027","SRX1749027","SRX1749027","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749028","SRX1749028","SRX1749028","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749029","SRX1749029","SRX1749029","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749030","SRX1749030","SRX1749030","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749031","SRX1749031","SRX1749031","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749032","SRX1749032","SRX1749032","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749033","SRX1749033","SRX1749033","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749034","SRX1749034","SRX1749034","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749035","SRX1749035","SRX1749035","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749036","SRX1749036","SRX1749036","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749037","SRX1749037","SRX1749037","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749038","SRX1749038","SRX1749038","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749039","SRX1749039","SRX1749039","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749040","SRX1749040","SRX1749040","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749041","SRX1749041","SRX1749041","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749042","SRX1749042","SRX1749042","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749043","SRX1749043","SRX1749043","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749044","SRX1749044","SRX1749044","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749045","SRX1749045","SRX1749045","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749046","SRX1749046","SRX1749046","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749047","SRX1749047","SRX1749047","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749048","SRX1749048","SRX1749048","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749049","SRX1749049","SRX1749049","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749050","SRX1749050","SRX1749050","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749051","SRX1749051","SRX1749051","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749052","SRX1749052","SRX1749052","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749053","SRX1749053","SRX1749053","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749054","SRX1749054","SRX1749054","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749055","SRX1749055","SRX1749055","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749057","SRX1749057","SRX1749057","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749058","SRX1749058","SRX1749058","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749059","SRX1749059","SRX1749059","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749060","SRX1749060","SRX1749060","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749061","SRX1749061","SRX1749061","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749062","SRX1749062","SRX1749062","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749063","SRX1749063","SRX1749063","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749064","SRX1749064","SRX1749064","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749065","SRX1749065","SRX1749065","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749066","SRX1749066","SRX1749066","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749067","SRX1749067","SRX1749067","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749068","SRX1749068","SRX1749068","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749072","SRX1749072","SRX1749072","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749073","SRX1749073","SRX1749073","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749074","SRX1749074","SRX1749074","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749075","SRX1749075","SRX1749075","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749076","SRX1749076","SRX1749076","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749077","SRX1749077","SRX1749077","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749078","SRX1749078","SRX1749078","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749079","SRX1749079","SRX1749079","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749080","SRX1749080","SRX1749080","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749082","SRX1749082","SRX1749082","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749083","SRX1749083","SRX1749083","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749084","SRX1749084","SRX1749084","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749085","SRX1749085","SRX1749085","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749086","SRX1749086","SRX1749086","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749087","SRX1749087","SRX1749087","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749088","SRX1749088","SRX1749088","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749089","SRX1749089","SRX1749089","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749091","SRX1749091","SRX1749091","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749093","SRX1749093","SRX1749093","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749094","SRX1749094","SRX1749094","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749095","SRX1749095","SRX1749095","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749096","SRX1749096","SRX1749096","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749097","SRX1749097","SRX1749097","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749098","SRX1749098","SRX1749098","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749099","SRX1749099","SRX1749099","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749100","SRX1749100","SRX1749100","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749101","SRX1749101","SRX1749101","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749102","SRX1749102","SRX1749102","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749103","SRX1749103","SRX1749103","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749104","SRX1749104","SRX1749104","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749105","SRX1749105","SRX1749105","unknown",NA,NA,NA,NA,"SRP074593","S2"
"SRX1749106","SRX1749106","SRX1749106","unknown",NA,NA,NA,NA,"SRP074593","S2"
