"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX026975","DRX026975","DRX026975","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026977","DRX026977","DRX026977","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026978","DRX026978","DRX026978","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026979","DRX026979","DRX026979","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX027351","DRX027351","DRX027351","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027352","DRX027352","DRX027352","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027353","DRX027353","DRX027353","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027354","DRX027354","DRX027354","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027355","DRX027355","DRX027355","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027356","DRX027356","DRX027356","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027357","DRX027357","DRX027357","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027358","DRX027358","DRX027358","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027359","DRX027359","DRX027359","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027360","DRX027360","DRX027360","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027361","DRX027361","DRX027361","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027362","DRX027362","DRX027362","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027363","DRX027363","DRX027363","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027364","DRX027364","DRX027364","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027365","DRX027365","DRX027365","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027366","DRX027366","DRX027366","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027367","DRX027367","DRX027367","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027368","DRX027368","DRX027368","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027369","DRX027369","DRX027369","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027370","DRX027370","DRX027370","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027371","DRX027371","DRX027371","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027372","DRX027372","DRX027372","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027373","DRX027373","DRX027373","female","whole body","whole body","a","adult","DRP003494",NA
"DRX027374","DRX027374","DRX027374","female","whole body","whole body","a","adult","DRP003494",NA
"DRX045939","DRX045939","DRX045939","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045940","DRX045940","DRX045940","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045941","DRX045941","DRX045941","female","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045942","DRX045942","DRX045942","male","embryo","embryo","e11","embryo","DRP003277",NA
"DRX045943","DRX045943","DRX045943","male","embryo","embryo","e11","embryo","DRP003277",NA
