curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX154749,unknown,brain neuroblast,neuron,l3,larva
SRX390978,unknown,brain neuroblast,neuron,pre2,pupae
SRX1101033,unknown,brain neuroblast,neuron,l3,larva
SRX154748,unknown,brain neuroblast,neuron,l3,larva
SRX390973,unknown,brain neuroblast,neuron,pre2,pupae
SRX1101053,unknown,brain neuroblast,neuron,l3,larva
SRX3242719,unknown,brain neuroblast,neuron,l3,larva
SRX154751,unknown,brain neuroblast,neuron,l3,larva
SRX390974,unknown,brain neuroblast,neuron,pre2,pupae
SRX390977,unknown,brain neuroblast,neuron,pre2,pupae
SRX390971,unknown,brain neuroblast,neuron,l3,larva
SRX2636815,unknown,brain neuroblast,neuron,l3,larva
SRX314651,unknown,brain neuroblast,neuron,l3,larva
SRX2636817,unknown,brain neuroblast,neuron,l3,larva
SRX1101052,unknown,brain neuroblast,neuron,l3,larva
SRX390976,unknown,brain neuroblast,neuron,pre2,pupae
SRX390980,unknown,brain neuroblast,neuron,pre2,pupae
SRX390972,unknown,brain neuroblast,neuron,l3,larva
SRX390979,unknown,brain neuroblast,neuron,pre2,pupae
SRX314652,unknown,brain neuroblast,neuron,l3,larva
SRX1431484,unknown,brain neuron,neuron,a,adult
SRX1431476,unknown,brain neuron,neuron,a,adult
SRX154753,unknown,brain neuron,neuron,l3,larva
SRX154755,unknown,brain neuron,neuron,l3,larva
SRX4029177,unknown,brain neuron,neuron,a5,adult
SRX1431475,unknown,brain neuron,neuron,a,adult
SRX4029176,unknown,brain neuron,neuron,a5,adult
SRX1431483,unknown,brain neuron,neuron,a,adult
SRX154754,unknown,brain neuron,neuron,l3,larva
SRX1101050,unknown,brain neuron,neuron,l3,larva
SRX4029180,unknown,brain neuron,neuron,a5,adult
SRX4029181,unknown,brain neuron,neuron,a5,adult
SRX1431472,unknown,brain neuron,neuron,a,adult
SRX4029183,unknown,brain neuron,neuron,a5,adult
SRX1431477,unknown,brain neuron,neuron,a,adult
SRX1431473,unknown,brain neuron,neuron,a,adult
SRX1101049,unknown,brain neuron,neuron,l,larva
SRX1431479,unknown,brain neuron,neuron,a,adult
SRX1431478,unknown,brain neuron,neuron,a,adult
SRX1431482,unknown,brain neuron,neuron,a,adult
SRX1431481,unknown,brain neuron,neuron,a,adult
SRX1431474,unknown,brain neuron,neuron,a,adult
SRX1431480,unknown,brain neuron,neuron,a,adult
SRX494008,unknown,carcass,tissue carcass,l3,larva
SRX494066,mixed,carcass,tissue carcass,a4,adult
SRX109270,female,carcass,tissue carcass,a1,adult
SRX109291,female,carcass,tissue carcass,a20,adult
SRX142926,mixed,carcass,tissue carcass,a4,adult
SRX3015340,female,carcass,tissue carcass,a,adult
ERX2156132,female,carcass,tissue carcass,a,adult
SRX109257,female,carcass,tissue carcass,a4,adult
SRX109258,female,carcass,tissue carcass,a1,adult
SRX494047,mixed,carcass,tissue carcass,a4,adult
SRX109283,female,carcass,tissue carcass,a4,adult
SRX494070,mixed,carcass,tissue carcass,a20,adult
SRX109299,unknown,carcass,tissue carcass,l3,larva
SRX109259,female,carcass,tissue carcass,a20,adult
SRX3015342,male,carcass,tissue carcass,a,adult
SRX494015,mixed,carcass,tissue carcass,a1,adult
SRX142929,unknown,carcass,tissue carcass,l3,larva
SRX494109,unknown,carcass,tissue carcass,l3,larva
SRX494004,mixed,carcass,tissue carcass,a1,adult
SRX494022,mixed,carcass,tissue carcass,a20,adult
SRX109298,unknown,carcass,tissue carcass,l3,larva
ERX1861515,mixed,cardial cell,muscle,e15,embryo
ERX1861514,mixed,cardial cell,muscle,e15,embryo
SRX3230261,unknown,caudal visceral mesoderm cell,embryo,e12,embryo
SRX105247,unknown,central nervous system,neuron,l3,larva
SRX105245,unknown,central nervous system,neuron,l3,larva
SRX109300,unknown,central nervous system,neuron,l3,larva
SRX105250,unknown,central nervous system,neuron,l3,larva
SRX105241,unknown,central nervous system,neuron,l3,larva
SRX504590,unknown,central nervous system,neuron,l3,larva
SRX105244,unknown,central nervous system,neuron,l3,larva
SRX504595,unknown,central nervous system,neuron,l3,larva
SRX105246,unknown,central nervous system,neuron,l3,larva
SRX105249,unknown,central nervous system,neuron,l3,larva
SRX493981,unknown,central nervous system,neuron,l3,larva
SRX494073,unknown,central nervous system,neuron,pre2,pupae
SRX105243,unknown,central nervous system,neuron,l3,larva
SRX504603,unknown,central nervous system,neuron,l3,larva
SRX142933,unknown,central nervous system,neuron,pre2,pupae
SRX2742184,female,central nervous system,neuron,l3,larva
SRX504599,unknown,central nervous system,neuron,l3,larva
SRX504602,unknown,central nervous system,neuron,l3,larva
SRX142930,unknown,central nervous system,neuron,l3,larva
SRX504600,unknown,central nervous system,neuron,l3,larva
SRX504588,unknown,central nervous system,neuron,l3,larva
SRX105254,unknown,central nervous system,neuron,l3,larva
SRX109304,unknown,central nervous system,neuron,pre2,pupae
SRX504591,unknown,central nervous system,neuron,l3,larva
SRX494002,unknown,central nervous system,neuron,l3,larva
SRX504596,unknown,central nervous system,neuron,l3,larva
SRX504601,unknown,central nervous system,neuron,l3,larva
SRX504597,unknown,central nervous system,neuron,l3,larva
SRX109262,unknown,central nervous system,neuron,l3,larva
ERX2162997,unknown,central nervous system,neuron,l3,larva
